source_row_id,like_count,love_count,care_count,haha_count,wow_count,sad_count,angry_count,source_total_reactions,calculated_total_reactions,record_id,model_text,privacy_masked,language_type,text_hash,duplicate_group_id,duplicate_count,is_duplicate,total_reactions,log_total_reactions,like_ratio,like_ratio_smoothed,love_ratio,love_ratio_smoothed,care_ratio,care_ratio_smoothed,haha_ratio,haha_ratio_smoothed,wow_ratio,wow_ratio_smoothed,sad_ratio,sad_ratio_smoothed,angry_ratio,angry_ratio_smoothed,dominant_reaction,dominant_ratio,dominance_margin,sentiment_label,label_confidence,fusion_score,reaction_entropy,is_ambiguous,positive_anchor_mass,negative_anchor_mass,baseline_filtered_label,baseline_filtered_score,label_version,split,quality_status
1,51,8,1,16,1,0,2,79,79,RF_POST_000001,විනිසුරුවරුන්ගේ විශ්රාම වයස සංශෝධනය කිරීම ඇතුළු කරුණු ඇතුළත් 22වන ආණ්ඩුක්රම ව්යවස්ථා සංශෝධන පනත් කෙටුම්පත ගැසට් කර තිබේ.,False,sinhala,eff1bea08d1c1a413e584360a0f58368b3162521d47da157b8cae7b2ab295898,DUP_eff1bea08d1c1a41,1,False,79,4.382026634673881,0.6455696202531646,0.6046511627906976,0.10126582278481013,0.10465116279069768,0.012658227848101266,0.023255813953488372,0.20253164556962025,0.19767441860465115,0.012658227848101266,0.023255813953488372,0.0,0.011627906976744186,0.02531645569620253,0.03488372093023256,like,0.6455696202531646,0.4430379746835443,positive,0.12288651932503016,0.21131590135418243,0.5352350556429544,True,0.10822784810126582,0.02531645569620253,positive,0.6208530805687204,reactionfusion_v1_provisional,train,approved
2,602,10,0,315,6,8,3,944,944,RF_POST_000002,"පැය 24ක් යන්නත් පෙර බන්ධනාගාර තුනක් නොසන්සුන් වෙයි බොරැල්ල නව මැගසින්, කුරුවිට, මීගමුව පල්ලන්සේන",False,sinhala,22f9e9c97d0c6aed59650af04e73cab542f2e9a4938351df1a36d8087897c443,DUP_22f9e9c97d0c6aed,1,False,944,6.851184927493743,0.6377118644067796,0.6340694006309149,0.01059322033898305,0.011566771819137749,0.0,0.0010515247108307045,0.3336864406779661,0.3322818086225026,0.006355932203389831,0.007360672975814932,0.00847457627118644,0.00946372239747634,0.0031779661016949155,0.004206098843322818,like,0.6377118644067796,0.3040254237288136,neutral,0.6847028813751104,-0.0032136379972626137,0.40708803451092485,True,0.01059322033898305,0.011652542372881356,neutral,-0.047619047619047616,reactionfusion_v1_provisional,validation,approved
3,160,4,0,3,1,1,0,169,169,RF_POST_000003,පල්ලන්සේන තත්ත්වය පාලනයට කඳුළු ගෑස්,False,sinhala,c28d86ba00e8ca2f6551311ec1933daa0547f85679f301a626ab7c29f5321dfd,DUP_c28d86ba00e8ca2f,1,False,169,5.135798437050262,0.9467455621301775,0.9147727272727273,0.023668639053254437,0.028409090909090908,0.0,0.005681818181818182,0.01775147928994083,0.022727272727272728,0.005917159763313609,0.011363636363636364,0.005917159763313609,0.011363636363636364,0.0,0.005681818181818182,like,0.9467455621301775,0.9230769230769231,neutral,0.35602261852845307,0.04241506060101445,0.14013326067427798,True,0.023668639053254437,0.005917159763313609,positive,0.6,reactionfusion_v1_provisional,validation,approved
4,326,1,0,177,4,9,8,525,525,RF_POST_000004,පල්ලන්සේන බන්ධනාගාරයේ නොසන්සුන්තාවක් මේ වනවිට රැඳවියන් පිරිසක් වහලය මත නැග ඇති බව ද සඳහන්ය,False,sinhala,bcf9f3cfa020b706dd61d62f40817879f36969367ad55b713d67422294952a9d,DUP_bcf9f3cfa020b706,1,False,525,6.26530121273771,0.6209523809523809,0.6146616541353384,0.0019047619047619048,0.0037593984962406013,0.0,0.0018796992481203006,0.33714285714285713,0.33458646616541354,0.007619047619047619,0.009398496240601503,0.017142857142857144,0.018796992481203006,0.015238095238095238,0.016917293233082706,like,0.6209523809523809,0.2838095238095238,neutral,0.16832055615756397,-0.09183314352688979,0.4342404852712776,True,0.0019047619047619048,0.032380952380952385,negative,-0.8888888888888888,reactionfusion_v1_provisional,train,approved
5,35,0,1,0,0,0,0,36,36,RF_POST_000005,පේරාදෙණිය විශ්වවිද්යාලයේ කටයුතු 10 වැනිදා සිට යළි ඇරඹෙයි,False,sinhala,659262edefeae1b12d1557bde62b40b8986dcdeeafbd148479483513ff8c6202,DUP_659262edefeae1b1,1,False,36,3.6109179126442243,0.9722222222222222,0.8372093023255814,0.0,0.023255813953488372,0.027777777777777776,0.046511627906976744,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,like,0.9722222222222222,0.9444444444444444,neutral,0.1912479595235908,0.036046683003284105,0.06522939684703512,True,0.015277777777777779,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
6,1151,99,4,37,36,259,6,1592,1592,RF_POST_000006,කුරුවිට බන්ධනාගාරයේ ගැටුමෙන් දෙදෙනෙකු මරුට,False,sinhala,82b9390ddfc2e593ff118d4db41f1ec2aeb623384b8c8723a0f97f14e84e42fd,DUP_82b9390ddfc2e593,1,False,1592,7.373374309910049,0.7229899497487438,0.7204502814258912,0.062185929648241205,0.06253908692933083,0.002512562814070352,0.0031269543464665416,0.023241206030150754,0.023764853033145718,0.022613065326633167,0.023139462163852407,0.16268844221105527,0.16260162601626016,0.0037688442211055275,0.004377736085053158,like,0.7229899497487438,0.5603015075376885,negative,0.1618914133948254,-0.21142960903504965,0.4686022536418697,True,0.0635678391959799,0.1664572864321608,negative,-0.44729655925723655,reactionfusion_v1_provisional,train,approved
7,26,8,1,0,0,0,0,35,35,RF_POST_000007,2025 වසරේ විස්සයි20 හොඳම පිතිකරු පැතුම් නිස්සංක ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,False,sinhala,89ae72a72afb070436af3e173fc15c2ff53a1b14c3421e64510dfcf5a44581ab,DUP_89ae72a72afb0704,1,False,35,3.58351893845611,0.7428571428571429,0.6428571428571429,0.22857142857142856,0.21428571428571427,0.02857142857142857,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.023809523809523808,like,0.7428571428571429,0.5142857142857142,positive,0.18385296119054087,0.4397605803054588,0.33904281377523127,True,0.24428571428571427,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
8,55,13,2,1,0,0,0,71,71,RF_POST_000008,දුෂ්මන්ත චමීර 2025 වසරේ විස්සයි20 හොඳම පන්දු යවන්නා ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,False,sinhala,1ea83ccf689b0d511fbab1396db4384422f1039e1448f6a2ca928d4792c2d482,DUP_1ea83ccf689b0d51,1,False,71,4.276666119016055,0.7746478873239436,0.717948717948718,0.18309859154929578,0.1794871794871795,0.028169014084507043,0.038461538461538464,0.014084507042253521,0.02564102564102564,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.01282051282051282,like,0.7746478873239436,0.5915492957746479,positive,0.24216735460667235,0.38568443578150485,0.3439232814446463,True,0.19859154929577466,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
9,107,24,2,0,0,0,0,133,133,RF_POST_000009,වසරේ විශිෂ්ටතම ක්රීඩකයා පැතුම් නිස්සංක - ක්රීඩිකාව චමරි අතපත්තු ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,False,sinhala,0d2293ed58c8d8b3409f89e582a8426ffd90e1ac238a8a973c74bde3e8b72ca9,DUP_0d2293ed58c8d8b3,1,False,133,4.897839799950911,0.8045112781954887,0.7714285714285715,0.18045112781954886,0.17857142857142858,0.015037593984962405,0.02142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,like,0.8045112781954887,0.6240601503759399,positive,0.2944530172694785,0.36838481513995913,0.28115325173419015,True,0.18872180451127818,0.0,positive,1.0,reactionfusion_v1_provisional,validation,approved
10,167,1,1,68,2,3,1,243,243,RF_POST_000010,කුරුවිට බන්ධනාගාරයේ රැඳවියන් පිරිසක් අතරද අද (07) නොසන්සුන්කාරී තත්ත්වයක් හටගෙන තිබේ.,False,sinhala,851546a718aa3d3885ff739b68c82f3d917ad15a23eac58075767946342b70d3,DUP_851546a718aa3d38,1,False,243,5.497168225293202,0.6872427983539094,0.672,0.00411522633744856,0.008,0.00411522633744856,0.008,0.27983539094650206,0.276,0.00823045267489712,0.012,0.012345679012345678,0.016,0.00411522633744856,0.008,like,0.6872427983539094,0.4074074074074074,neutral,0.5236171176321816,-0.029448087248801685,0.39864195995527874,True,0.006378600823045268,0.01646090534979424,negative,-0.4414414414414415,reactionfusion_v1_provisional,train,approved
